uri,p_only_one_counter,p_multy_objs_same_type_counter,p_objs_unique_type_counter,p_has_primitive_type,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Document,http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/ontology/NaturalEvent,http://dbpedia.org/ontology/Activity,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/NaturalPlace,p_count
http://dbpedia.org/ontology/birthPlace,0.6021505376344086,0.3225806451612903,0.07526881720430108,0.010752688172043012,6,2,0,0,0,0,0,0,0,0,0,0,0,0,92,92,20,0,0,93
http://dbpedia.org/ontology/spouse,0.8383838383838383,0.13131313131313133,0.030303030303030304,0.1111111111111111,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99
