uri,wuri,tag,uri,diff,tot,miss,ratio,Person,Organisation,Company,SportsTeam,EducationalInstitution,PoliticalParty,Work,Document,MusicalWork,Film,Event,SocietalEvent,Activity,Place,PopulatedPlace,Country,ArchitecturalStructure,NaturalPlace,NaturalEvent,on,in,at,since,for,ago,before,to,past,from,till,until,by,year,sec,p_count,uri
http://dbpedia.org/ontology/formerPartner,,0,formerPartner,68,1078,22,0.063079777,930,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,5,8,0,4,0,0,4,0,2,0,0,0,23,2,1001,formerPartner
http://dbpedia.org/ontology/picture,,0,picture,5,76,77,0.065789474,15,30,0,29,0,0,0,0,0,0,4,0,0,5,3,2,2,0,0,0,5,1,0,3,0,2,3,0,0,0,0,0,6,4,206,picture
http://dbpedia.org/ontology/creator,,0,creator,135,1935,65,0.069767442,972,9,8,2,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,1,19,0,0,3,0,0,10,0,1,0,0,12,29,21,1001,creator
http://dbpedia.org/ontology/currentPartner,,0,currentPartner,38,529,42,0.071833648,493,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,5,0,2,0,0,2,0,0,0,0,0,13,1,571,currentPartner
http://dbpedia.org/ontology/honours,,0,honours,18,238,12,0.075630252,27,16,2,0,0,0,1,0,0,0,10,10,0,153,3,1,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,250,honours
http://dbpedia.org/ontology/chancellor,,0,chancellor,13,171,7,0.076023392,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,5,0,0,0,1,2,16,2,178,chancellor
http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/language,0,language,162,1555,130,0.104180064,29,3,0,0,0,0,0,0,0,0,0,0,0,52,62,51,0,0,0,5,37,12,1,22,0,1,12,0,8,0,2,10,111,16,1001,language
http://dbpedia.org/ontology/placeOfBurial,http://dbpedia.org/ontology/placeOfBurial,0,placeOfBurial,130,986,38,0.131845842,6,1,0,0,0,0,0,0,0,0,0,0,0,704,555,70,145,4,0,34,135,41,3,30,0,4,103,0,26,0,3,59,272,57,1001,placeOfBurial
http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship,0,citizenship,233,1752,244,0.132990868,271,21,0,0,0,0,0,0,0,0,0,0,0,709,724,704,0,0,0,52,169,70,0,107,0,11,110,2,40,0,1,49,345,66,1001,citizenship
http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/ontology/doctoralAdvisor,0,doctoralAdvisor,259,1941,47,0.133436373,849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,22,16,0,8,0,2,14,0,7,0,0,4,55,8,1001,doctoralAdvisor
http://dbpedia.org/ontology/relative,http://dbpedia.org/ontology/relative,0,relative,282,1891,104,0.149127446,882,15,4,0,1,0,0,0,0,10,0,0,0,0,1,0,1,0,0,1,10,3,0,3,0,2,4,0,4,0,0,3,11,8,1001,relative
http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/country,0,country,353,1817,174,0.19427628,175,31,0,81,0,0,0,0,0,0,0,0,0,633,633,628,0,0,0,65,195,94,4,136,0,15,144,1,66,1,6,81,298,159,1001,country
http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/league,0,league,358,1722,261,0.207897793,0,915,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,130,282,74,5,164,0,23,218,1,47,0,4,153,367,247,1001,league
http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/ontology/doctoralStudent,0,doctoralStudent,434,1952,35,0.222336066,846,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,14,10,0,11,0,0,12,0,5,0,0,3,21,6,1001,doctoralStudent
http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle,0,battle,416,1831,86,0.227198252,22,7,1,0,0,0,2,0,0,0,856,856,0,12,20,12,1,0,0,0,3,2,0,0,0,0,2,0,0,0,0,1,5,3,1001,battle
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/birthPlace,0,birthPlace,411,1797,175,0.228714524,51,8,0,4,0,0,0,0,0,0,0,0,0,979,976,241,5,2,0,83,199,106,6,126,0,12,118,0,50,0,4,71,300,120,1001,birthPlace
http://dbpedia.org/ontology/movement,http://dbpedia.org/ontology/movement,0,movement,464,1958,37,0.236976507,49,393,3,0,0,3,30,0,0,1,0,0,0,8,8,24,0,0,0,20,131,27,1,39,0,2,83,0,26,0,1,47,183,45,1001,movement
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/deathPlace,0,deathPlace,445,1781,219,0.249859629,52,11,0,13,0,0,1,0,0,0,1,1,0,964,954,256,25,2,0,111,241,142,6,109,0,17,187,3,78,0,10,99,389,147,1001,deathPlace
http://dbpedia.org/ontology/discipline,http://dbpedia.org/ontology/discipline,0,discipline,160,617,7,0.259319287,64,3,3,0,0,0,4,0,0,0,2,2,5,0,0,0,0,0,0,29,191,69,0,20,0,10,22,0,11,0,0,12,233,97,626,discipline
http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor,0,knownFor,611,1883,90,0.324482209,100,164,63,8,9,1,104,0,3,16,13,14,3,67,40,11,21,4,0,48,108,37,2,74,0,7,93,1,26,0,2,38,195,62,1001,knownFor
http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/ontology/recordLabel,0,recordLabel,606,1796,198,0.337416481,19,921,921,0,0,0,10,0,2,6,5,0,0,4,0,2,2,0,0,24,44,14,2,20,0,2,30,0,9,1,1,25,91,34,1001,recordLabel
http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/religion,0,religion,755,1879,120,0.401809473,26,131,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,12,30,10,0,12,0,3,20,2,8,0,0,11,39,17,1001,religion
