uri,p_only_one_counter,p_multy_objs_same_type_counter,p_objs_unique_type_counter,p_has_primitive_type,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Document,http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/ontology/NaturalEvent,http://dbpedia.org/ontology/Activity,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/NaturalPlace,p_count
http://dbpedia.org/ontology/canonizedPlace,0.803921568627451,0.49019607843137253,0.00980392156862745,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
http://dbpedia.org/ontology/openingTheme,0.8514851485148515,0.1485148514851485,0.039603960396039604,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
http://dbpedia.org/ontology/type,0.9607843137254902,0.058823529411764705,0.0196078431372549,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
