prop,subj,obj,diff,tot
http://dbpedia.org/property/cteam,http://dbpedia.org/resource/Jim_Cleamons,http://dbpedia.org/resource/Chicago_Condors,440,1010
http://dbpedia.org/property/discipline,http://dbpedia.org/resource/Feng_Chun-kai,http://dbpedia.org/resource/Track_cycling,25,1803
http://dbpedia.org/property/burialPlace,"http://dbpedia.org/resource/Philipp_Moritz,_Count_of_Hanau-Münzenberg",obj,diff,tot
http://dbpedia.org/property/tour,http://dbpedia.org/resource/Yasuhiro_Miyamoto,http://dbpedia.org/resource/Japan_Golf_Tour,541,1442
http://dbpedia.org/property/governor,http://dbpedia.org/resource/Juan_Francisco_Luis,obj,diff,tot
http://dbpedia.org/property/ruAmateurclubs,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/Cambridge_University_R.U.F.C.,274,1930
http://dbpedia.org/property/partner,http://dbpedia.org/resource/Ria_Schiffner,obj,diff,tot
http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/England,diff,tot
http://dbpedia.org/property/playedFor,http://dbpedia.org/resource/Jake_Taylor_(ice_hockey),obj,diff,tot
http://dbpedia.org/property/currentConference,http://dbpedia.org/resource/Dave_Wommack,http://dbpedia.org/resource/Southeastern_Conference,120,952
http://dbpedia.org/property/country,http://dbpedia.org/resource/Andrew_Symonds,obj,diff,tot
http://dbpedia.org/property/lastagainst,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/Essex_County_Cricket_Club,120,1279
http://dbpedia.org/property/teama,http://dbpedia.org/resource/Hubert_Turtill,http://dbpedia.org/resource/New_Zealand_national_rugby_league_team,314,1929
http://dbpedia.org/property/teamb,http://dbpedia.org/resource/Denvour_Johnston,http://dbpedia.org/resource/Cook_Islands_national_rugby_league_team,308,1917
http://dbpedia.org/property/religion,http://dbpedia.org/resource/Norman_Kirk,obj,diff,tot
http://dbpedia.org/property/ארץלידה,http://dbpedia.org/resource/Michalis_Konstantinou,obj,diff,tot
http://dbpedia.org/property/lieutenant,http://dbpedia.org/resource/Juan_Francisco_Luis,obj,diff,tot
http://dbpedia.org/property/finalteam,http://dbpedia.org/resource/Shaun_Alexander,obj,55,1522
http://dbpedia.org/property/profession,http://dbpedia.org/resource/Sarvepalli_Radhakrishnan,obj,diff,tot
http://dbpedia.org/property/עירלידה,http://dbpedia.org/resource/Paul_Verhaegh,obj,diff,tot
http://dbpedia.org/property/publisher,http://dbpedia.org/resource/Nightcrawler_(comics),http://dbpedia.org/resource/Marvel_Comics,58,1920
http://dbpedia.org/property/conf,http://dbpedia.org/resource/Tom_Thorp,obj,119,1929
http://dbpedia.org/property/draftTeam,http://dbpedia.org/resource/Scott_Skiles,obj,diff,tot
http://dbpedia.org/property/collegeteam,http://dbpedia.org/resource/Bill_Woolsey,http://dbpedia.org/resource/Indiana_Hoosiers,170,1951
http://dbpedia.org/property/highschool,http://dbpedia.org/resource/Shaun_Alexander,http://dbpedia.org/resource/Boone_County_High_School,diff,tot
http://dbpedia.org/property/ruProclubs,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/Nottingham_R.F.C.,524,1905
http://dbpedia.org/property/name,http://dbpedia.org/resource/Jeff_Landry,obj,diff,tot
http://dbpedia.org/property/successor,http://dbpedia.org/resource/Süleyman_Demirel,obj,diff,tot
http://dbpedia.org/property/instrument,http://dbpedia.org/resource/Haim_Moshe,obj,diff,tot
http://dbpedia.org/property/notableInstruments,http://dbpedia.org/resource/Martin_Kesici,obj,diff,tot
http://dbpedia.org/property/ארצותמגורים,http://dbpedia.org/resource/Salomon_Langleben,obj,diff,tot
http://dbpedia.org/property/currentTitle,http://dbpedia.org/resource/Willis_Wilson,obj,300,1686
http://dbpedia.org/property/formerTeams,http://dbpedia.org/resource/Leo_Komarov,obj,diff,tot
http://dbpedia.org/property/portrayer,http://dbpedia.org/resource/Ben_Atkins,obj,diff,tot
http://dbpedia.org/property/father,"http://dbpedia.org/resource/William_II,_Prince_of_Orange",obj,diff,tot
http://dbpedia.org/property/deathCause,http://dbpedia.org/resource/James_Colosimo,obj,diff,tot
http://dbpedia.org/property/column,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/List_A_cricket,147,1953
